№,Наименование организации,ИНН,ОГРН,Регион организации,Юридический адрес,Регион объекта,Адрес осуществления деятельности,Номер лицензии,Дата лицензии,Статус лицензии,Работы/услуги
1589,"Общество с ограниченной ответственностью ""Медведь""",7839481347,1137847244908,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 101",Санкт-Петербург,"195043, г. Санкт-Петербург, Ржевская площадь, д. 1, ч. Лит. Б",Л042-01148-78/00284174,2019-11-27,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1590,"Общество с ограниченной ответственностью ""Медведь""",7839481347,1137847244908,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 101",Санкт-Петербург,"196006, г. Санкт-Петербург, ул. Коли Томчака, д. 18/26, лит. А, 3Н, пом. 2-4",Л042-01148-78/00284174,2019-11-27,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1591,"Общество с ограниченной ответственностью ""Медведь""",7839481347,1137847244908,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 101",Санкт-Петербург,"198335, г. Санкт-Петербург, Героев проспект, дом 18, лит.А, пом.16-Н",Л042-01148-78/00284174,2019-11-27,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1592,"Общество с ограниченной ответственностью ""Медведь""",7839481347,1137847244908,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 101",Санкт-Петербург,"193168, г. Санкт-Петербург, ул. Антонова-Овсеенко, дом 7, литера А, 2-Н, часть пом.2",Л042-01148-78/00284174,2019-11-27,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1593,"Общество с ограниченной ответственностью ""Медведь""",7839481347,1137847244908,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 101",Санкт-Петербург,"192281, г. Санкт-Петербург, Будапештская улица, д.94/41, лит. А, 1Н, пом. №10-13",Л042-01148-78/00284174,2019-11-27,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1594,"Общество с ограниченной ответственностью ""Медведь""",7839481347,1137847244908,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 101",Санкт-Петербург,"196605, г. Санкт-Петербург, г.Пушкин, Кузьминское шоссе, дом 66, литера Д, часть пом. 1- Н",Л042-01148-78/00284174,2019-11-27,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1595,"Общество с ограниченной ответственностью ""Медведь""",7839481347,1137847244908,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 101",Санкт-Петербург,"198320, г. Санкт-Петербург, г.Красное Село, проспект Ленина, дом 77, литера А, часть пом. 5- Н",Л042-01148-78/00284174,2019-11-27,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1596,"Общество с ограниченной ответственностью ""Медведь""",7839481347,1137847244908,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 101",Санкт-Петербург,"197227, г. Санкт-Петербург, Байконурская улица, дом 9, корпус 2, литера А, часть пом. 1-Н",Л042-01148-78/00284174,2019-11-27,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1597,"Общество с ограниченной ответственностью ""Медведь""",7839481347,1137847244908,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 101",Санкт-Петербург,"192171, г. Санкт-Петербург, переулок Матюшенко, дом 10, литера А, часть помещения 1-Н",Л042-01148-78/00284174,2019-11-27,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1598,"Общество с ограниченной ответственностью ""Медведь""",7839481347,1137847244908,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 101",Санкт-Петербург,"197372, г. Санкт-Петербург, ул. Планерная, д. 25 к. 1 литера А, часть пом. 1-Н",Л042-01148-78/00284174,2019-11-27,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1599,"Общество с ограниченной ответственностью ""Медведь""",7839481347,1137847244908,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 101",Санкт-Петербург,"190068, г. Санкт-Петербург, проспект Лермонтовский, д. 27, литера А, часть пом. 1-Н",Л042-01148-78/00284174,2019-11-27,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1600,"Общество с ограниченной ответственностью ""Медведь""",7839481347,1137847244908,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 101",Санкт-Петербург,"192131, г. Санкт-Петербург, ул. Ивановская, д. 20, литера А, часть пом. 1-Н",Л042-01148-78/00284174,2019-11-27,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1601,"Общество с ограниченной ответственностью ""Медведь""",7839481347,1137847244908,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 101",Санкт-Петербург,"197373, г. Санкт-Петербург, проспект Авиаконструкторов, дом 10, литера А, часть помещения 2-Н",Л042-01148-78/00284174,2019-11-27,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1602,"Общество с ограниченной ответственностью ""Медведь""",7839481347,1137847244908,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 101",Санкт-Петербург,"191036, г. Санкт-Петербург, ул. 8-я Советская, д. 27-29, литера А, пом. 11-Н",Л042-01148-78/00284174,2019-11-27,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1603,"Общество с ограниченной ответственностью ""ЛИНИЯ""",7813660655,1227800014936,Санкт-Петербург,"197198, Россия, г. Санкт-Петербург, вн.тер.г. Муниципальный округ Введенский, ул. Блохина, д. 10, литера А, помещ 5-Н",Санкт-Петербург,"194156, Санкт-Петербург, проспект Пархоменко, дом 5, лит. А, часть пом. 11-Н",Л042-01148-78/00283079,2022-02-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1604,"Общество с ограниченной ответственностью ""ЛИНИЯ""",7813660655,1227800014936,Санкт-Петербург,"197198, Россия, г. Санкт-Петербург, вн.тер.г. Муниципальный округ Введенский, ул. Блохина, д. 10, литера А, помещ 5-Н",Санкт-Петербург,"197342, г. Санкт-Петербург, ул. Новосибирская, д.10, лит.А, пом.4-Н",Л042-01148-78/00283079,2022-02-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1605,"Общество с ограниченной ответственностью ""ФармаДерм""",7801703921,1217800140140,Санкт-Петербург,"199178, Россия, Санкт-Петербург, вн. Тер. Г. Муниципальный округ Васильевский, линия 6-я В.О., д. 55, литера А, часть пом. 1-Н, офис 25",Санкт-Петербург,"197376, Санкт-Петербург, муниципальный округ Аптекарский остров, Аптекарский проспект, дом 5, стр. 1, пом. 97-Н",Л042-01148-78/00271024,2022-02-24,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1606,"Общество с ограниченной ответственностью ""ФармаДерм""",7801703921,1217800140140,Санкт-Петербург,"199178, Россия, Санкт-Петербург, вн. Тер. Г. Муниципальный округ Васильевский, линия 6-я В.О., д. 55, литера А, часть пом. 1-Н, офис 25",Санкт-Петербург,"195267, Санкт-Петербург, Гражданский проспект, дом 118, корп. 1, лит. А, 1-Н, пом. № 3, 4",Л042-01148-78/00271024,2022-02-24,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1607,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"196641, г. Санкт-Петербург, поселок Металлострой, Центральная ул., д. 10, лит. А, 3-Н, пом. № 1,2, 16-21",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1608,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"192148, г. Санкт-Петербург, Седова ул.,д.19, лит.А, 9-Н,пом. №1-10",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1609,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"198412, г. Санкт-Петербург, г. Ломоносов, Красного Флота ул., д.23 лит.А, 3-Н, пом.№ 1-8",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1610,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"197706, г. Санкт-Петербург, г. Сестрорецк, Володарского ул., д.10, лит. А, пом. № 25-30",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1611,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"196606, г. Санкт-Петербург, г. Пушкин, Железнодорожная ул., д.81, лит. А. 1-Н. Пом. № 2-8",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1612,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"194064, г. Санкт-Петербург, Тихорецкий пр., д.15,лит.А, 1-Н, пом. №22-34",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1613,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"195297, г. Санкт-Петербург, Светлановский пр., д.115, корп.1, лит.А, пом.15-Н",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1614,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"197373, г. Санкт-Петербург, Шаврова ул., д.10, корп.2, пом.1-Н",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1615,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"197198, г. Санкт-Петербург, Саблинская ул., д.13-15, лит.А, 5-Н, пом. №1-10",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1616,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"197198, г. Санкт-Петербург, Большой проспект, П.С., д.43, лит.А,1-Н, пом. №1-8",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1617,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"197198, г. Санкт-Петербург, Большой пр., П.С., д.9/1, лит.А, пом. 3-Н",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1618,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"198504, г. Санкт-Петербург, Петродворец, Шахматова ул., д.14, корп.1, лит.А, 1-Н, пом. №46,50, 52-59",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1619,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"198096, г. Санкт-Петербург, Автовская ул., д.15, лит.А, 1Н, пом. №1-6",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1620,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"198320, г. Санкт-Петербург, Красное Село, Красногородская ул., д.17, корп.1, лит.Б, пом.2-Н",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1621,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"198215, г. Санкт-Петербург, Счастливая ул., д.13, лит.А, 1-Н, пом. №1-8",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1622,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"190121, г. Санкт-Петербург, Английский проспект, д.16, лит. А, 8-Н, пом. № 4, 16-20",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1623,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"195221, г. Санкт-Петербург, Пискаревский пр., д. 16, лит. А, 3Н, ч. Пом. №2",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1624,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"195220, г. Санкт-Петербург, проспект Непокоренных, д. 16, корп. 1, лит. А, 5Н, ч. Пом. №26, пом. №27-29",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1625,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"197372, г. Санкт-Петербург, Стародеревенская ул., д. 20, корп. 1, лит. А, 1Н, ч. Пом. №4, пом. №19-23",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1626,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"195269, г. Санкт-Петербург, Просвещения проспект, д. 81, лит. А, ч. Пом. 1-Н",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1627,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"197227, г. Санкт-Петербург, Испытателей проспект, д. 27, лит. А, часть пом. 1-Н",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1628,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"199178, г. Санкт-Петербург, 10-я линия В.О., д. 5, литера А, пом. 5-Н, 7-Н",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1629,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"193313, г. Санкт-Петербург, Искровский проспект, дом 7, литера А, часть помещения 4-Н",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1630,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"196641, г. Санкт-Петербург, поселок Металлострой, Садовая улица, дом 21, корпус 5, строение 1, часть помещения 1-Н",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1631,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"196240, г. Санкт-Петербург, внутригородское муниципальное образование Санкт-Петербурга муниципальный округ Новоизмайловское, 1-й Предпортовый проезд, дом 13, строение 1, часть пом.67-Н",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1632,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"192289, г. Санкт-Петербург, Бухарестская улица, дом 144, литера А, часть помещения 1-Н",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1633,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"193091, г. Санкт-Петербург, внутригородское муниципальное образование Санкт-Петербурга муниципальный округ Невский округ, Октябрьская набережная, дом 34, корпус 2, строение 1, помещение 75-Н",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1634,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"195220, г. Санкт-Петербург, муниципальный округ Пискаревка, Кушелевская дорога, дом 6, корпус 1, строение 1, часть помещения 48Н",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
1635,"Общество с ограниченной ответственностью ""Аптека "" Семейная-2""",7807048010,1027804597413,Санкт-Петербург,"190121, Россия, г. Санкт-Петербург, Перевозная ул, д. 8, лит. А, пом. 1-Н, ком. 100",Санкт-Петербург,"196655, г. Санкт-Петербург, г. Колпино, улица Ижорского Батальона, дом 13, литера А, часть пом. 1-Н",Л042-01148-78/00270625,2020-11-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
