№,Положение об исполнительном органе государственной власти Санкт-Петербурга,№ пункта в положении об ИОГВ,Наименование исполнительного органа государственной власти Санкт-Петербурга,Наименование полномочия в соответствии с Положением об исполнительном органе государственной власти Санкт-Петербурга,Наименование государственной функции,Реестровый номер,Тип,Распоряжение исполнительного органа государственной власти Санкт-Петербурга об утверждении административного регламента
1402,"Постановление Правительства Санкт-Петербурга от 28.04.2004 N 650 ""О Комитете по строительству""",3.8-1.,Комитет по строительству,Осуществлять полномочия государственного заказчика Санкт-Петербурга,Осуществлять полномочия государственного заказчика Санкт-Петербурга,-,Функция,-
1403,"Постановление Правительства Санкт-Петербурга от 28.04.2004 N 650 ""О Комитете по строительству""",3.28-11.,Комитет по строительству,"Осуществлять в пределах компетенции Комитета меры по противодействию терроризму, в том числе меры по обеспечению выполнения требований к антитеррористической защищенности объектов (территорий), находящихся в ведении Комитета и подведомственных ему организаций, и меры по организации работы по восстановлению нормального функционирования поврежденных или разрушенных объектов в случае совершения террористического акта на территории Санкт-Петербурга","Осуществлять в пределах компетенции Комитета меры по противодействию терроризму, в том числе меры по обеспечению выполнения требований к антитеррористической защищенности объектов (территорий), находящихся в ведении Комитета и подведомственных ему организаций, и меры по организации работы по восстановлению нормального функционирования поврежденных или разрушенных объектов в случае совершения террористического акта на территории Санкт-Петербурга",-,Функция,-
1404,"Постановление Правительства Санкт-Петербурга от 28.04.2004 N 650 ""О Комитете по строительству""",3.23-5.,Комитет по строительству,"Осуществлять в порядке, установленном Правительством Санкт-Петербурга, подготовку заключения о согласовании либо мотивированном отказе в согласовании возможности размещения нестационарных торговых объектов на земельных участках, находящихся в государственной собственности Санкт-Петербурга или государственная собственность на которые не разграничена, в пределах своей компетенции","Осуществлять в порядке, установленном Правительством Санкт-Петербурга, подготовку заключения о согласовании либо мотивированном отказе в согласовании возможности размещения нестационарных торговых объектов на земельных участках, находящихся в государственной собственности Санкт-Петербурга или государственная собственность на которые не разграничена, в пределах своей компетенции",-,Функция контроля (надзора),-
1405,"Постановление Правительства Санкт-Петербурга от 28.04.2004 N 650 ""О Комитете по строительству""",3.23-6.,Комитет по строительству,"Осуществлять в порядке, установленном Правительством Санкт-Петербурга, подготовку заключения о согласовании или отказе в согласовании документации по планировке территории","Осуществлять в порядке, установленном Правительством Санкт-Петербурга, подготовку заключения о согласовании или отказе в согласовании документации по планировке территории",-,Функция,-
1406,"Постановление Правительства Санкт-Петербурга от 28.04.2004 N 650 ""О Комитете по строительству""",3.22-1.,Комитет по строительству,"Осуществлять в порядке, установленном законодательством Российской Федерации и Санкт-Петербурга, мероприятия по гражданской обороне","Осуществлять в порядке, установленном законодательством Российской Федерации и Санкт-Петербурга, мероприятия по гражданской обороне",-,Функция,-
1407,"Постановление Правительства Санкт-Петербурга от 28.04.2004 N 650 ""О Комитете по строительству""",3.27-3.,Комитет по строительству,"Осуществлять ведомственный контроль за соблюдением трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права, в подведомственных Комитету организациях","Осуществлять ведомственный контроль за соблюдением трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права, в подведомственных Комитету организациях",-,Функция,-
1408,"Постановление Правительства Санкт-Петербурга от 28.04.2004 N 650 ""О Комитете по строительству""",3.27-4,Комитет по строительству,"Осуществляет ведомственный контроль за соблюдением подведомственными Комитету государственными бюджетными и автономными учреждениями Санкт-Петербурга требований Федерального закона «О закупках товаров, работ, услуг отдельными видами юридических лиц» и иных принятых в соответствии с ним нормативных правовых актов Российской Федерации","Осуществлять ведомственный контроль за соблюдением подведомственными Комитету государственными бюджетными и автономными учреждениями Санкт-Петербурга требований Федерального закона «О закупках товаров, работ, услуг отдельными видами юридических лиц» и иных принятых в соответствии с ним нормативных правовых актов Российской Федерации.",-,Функция,-
1409,"Постановление Правительства Санкт-Петербурга от 28.04.2004 N 650 ""О Комитете по строительству""",3.27-2.,Комитет по строительству,"Осуществлять ведомственный контроль за соблюдением законодательства Российской Федерации и иных нормативных правовых актов о контрактной системе в сфере закупок в порядке, установленном Правительством Санкт-Петербурга, в отношении подведомственных Комитету заказчиков, осуществляющих закупки товаров, работ, услуг в соответствии с Федеральным законом ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Осуществлять ведомственный контроль за соблюдением законодательства Российской Федерации и иных нормативных правовых актов о контрактной системе в сфере закупок в порядке, установленном Правительством Санкт-Петербурга, в отношении подведомственных Комитету заказчиков, осуществляющих закупки товаров, работ, услуг в соответствии с Федеральным законом ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""",-,Функция,-
1410,"Постановление Правительства Санкт-Петербурга от 28.04.2004 N 650 ""О Комитете по строительству""",3.23-7.,Комитет по строительству,Обеспечивать подготовку документации по планировке территории в целях размещения объектов капитального строительства в соответствии с компетенцией Комитета,Обеспечивать подготовку документации по планировке территории в целях размещения объектов капитального строительства в соответствии с компетенцией Комитета,-,Функция,-
1411,"Постановление Правительства Санкт-Петербурга от 28.04.2004 N 650 ""О Комитете по строительству""",3.24-1.,Комитет по строительству,Обеспечивать выполнение работ по сохранению объектов культурного наследия,Обеспечивать выполнение работ по сохранению объектов культурного наследия,-,Функция,-
1412,"Постановление Правительства Санкт-Петербурга от 28.04.2004 N 650 ""О Комитете по строительству""",3.24.3.,Комитет по строительству,"На основании правовых актов Правительства Санкт-Петербурга проектирование, строительство, реконструкцию автомобильных дорог общего пользования регионального значения в Санкт-Петербурге и архитектурно-строительное проектирование, строительство, реконструкцию объектов инженерной инфраструктуры Санкт-Петербурга в целях подготовки территорий для строительства объектов капитального строительства","На основании правовых актов Правительства Санкт-Петербурга проектирование, строительство, реконструкцию автомобильных дорог общего пользования регионального значения в Санкт-Петербурге и архитектурно-строительное проектирование, строительство, реконструкцию объектов инженерной инфраструктуры Санкт-Петербурга в целях подготовки территорий для строительства объектов капитального строительства",-,Функция,-
1413,"Постановление Правительства Санкт-Петербурга от 28.04.2004 N 650 ""О Комитете по строительству""",3.24.2.,Комитет по строительству,"Выполнение работ по архитектурно-строительному проектированию, строительству и реконструкции объектов капитального строительства, за исключением автомобильных дорог общего пользования регионального значения в Санкт-Петербурге и объектов инженерной инфраструктуры","Выполнение работ по архитектурно-строительному проектированию, строительству и реконструкции объектов капитального строительства, за исключением автомобильных дорог общего пользования регионального значения в Санкт-Петербурге и объектов инженерной инфраструктуры",-,Функция,-
1414,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.12.,Комитет по тарифам Санкт-Петербурга,Участвовать в установленном основными положениями функционирования розничных рынков порядке в назначении или замене гарантирующих поставщиков и определении или изменении границ зон их деятельности,Участвовать в установленном основными положениями функционирования розничных рынков порядке в назначении или замене гарантирующих поставщиков и определении или изменении границ зон их деятельности,-,Функция,-
1415,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.8-10.,Комитет по тарифам Санкт-Петербурга,"Утверждать инвестиционные программы субъектов электроэнергетики, отнесенных к числу субъектов, инвестиционные программы которых утверждаются и контролируются органами исполнительной власти Санкт-Петербурга","Утверждение инвестиционных программ субъектов электроэнергетики, в уставных капиталах которых участвует Санкт-Петербург, и инвестиционных программ территориальных сетевых организаций, отнесенных к числу субъектов, инвестиционные программы которых утверждаются и контролируются исполнительными органами государственной власти Санкт-Петербурга",-,Функция,-
1416,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.6-1.,Комитет по тарифам Санкт-Петербурга,"Утверждать специальные надбавки к тарифам на транспортировку газа по газораспределительным сетям, предназначенные для финансирования программ газификации жилищно-коммунального хозяйства, промышленных и иных организаций, расположенных на территории Санкт-Петербурга, по согласованию с газораспределительными организациями и осуществлять контроль за целевым использованием финансовых средств, полученных в результате введения указанных надбавок.","Утверждать специальные надбавки к тарифам на транспортировку газа по газораспределительным сетям, предназначенные для финансирования программ газификации жилищно-коммунального хозяйства, по согласованию с газораспределительными организациями",-,Функция,-
1417,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.6-1.,Комитет по тарифам Санкт-Петербурга,"Утверждать специальные надбавки к тарифам на транспортировку газа по газораспределительным сетям, предназначенные для финансирования программ газификации жилищно-коммунального хозяйства, промышленных и иных организаций, расположенных на территории Санкт-Петербурга, по согласованию с газораспределительными организациями и осуществлять контроль за целевым использованием финансовых средств, полученных в результате введения указанных надбавок.","Осуществлять региональный государственный контроль за целевым использованием финансовых средств, полученных в результате введения специальных надбавок к тарифам на транспортировку газа по газораспределительным сетям, предназначенных для финансирования программ газификации жилищно-коммунального хозяйства, промышленных и иных организаций, расположенных на территории Санкт-Петербурга",7800000000165153047,Функция,"Распоряжение Комитета по тарифам Санкт-Петербурга от 16.11.2018 № 140-р ""Об утверждении Административного регламента Комитета по тарифам Санкт-Петербурга по исполнению государственной функции по осуществлению регионального государственного контроля за целевым использованием финансовых средств, полученных в результате введения специальных надбавок к тарифам на транспортировку газа по газораспределительным сетям, предназначенных для финансирования программ газификации жилищно-коммунального хозяйства"""
1418,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.6.,Комитет по тарифам Санкт-Петербурга,"Утверждать розничные цены на газ, реализуемый населению, и розничную цену на сжиженный газ, реализуемый населению для бытовых нужд, в соответствии с Основными положениями формирования и государственного регулирования цен на газ, тарифов на услуги по его транспортировке и платы за технологическое присоединение газоиспользующего оборудования к газораспределительным сетям на территории Российской Федерации, утвержденными постановлением Правительства Российской Федерации от 29.12.200 № 1021","Утверждать розничные цены на газ, реализуемый населению, и розничную цену на сжиженный газ, реализуемый населению для бытовых нужд, в соответствии с Основными положениями формирования и государственного регулирования цен на газ, тарифов на услуги по его транспортировке и платы за технологическое присоединение газоиспользующего оборудования к газораспределительным сетям на территории Российской Федерации, утвержденными постановлением Правительства Российской Федерации от 29.12.200 № 1021",-,Функция,-
1419,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.8-25.,Комитет по тарифам Санкт-Петербурга,В области обращения с твердыми коммунальными отходами: утверждать предельные тарифы в области обращения с твердыми коммунальными отходами; утверждать инвестиционные программы в области обращения с твердыми коммунальными отходами; утверждать производственные программы в области обращения с твердыми коммунальными отходами; устанавливать нормативы накопления твердых коммунальных отходов,Утверждать производственные программы в области обращения с твердыми коммунальными отходами,-,Функция,-
1420,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.8-25.,Комитет по тарифам Санкт-Петербурга,В области обращения с твердыми коммунальными отходами: утверждать предельные тарифы в области обращения с твердыми коммунальными отходами; утверждать инвестиционные программы в области обращения с твердыми коммунальными отходами; утверждать производственные программы в области обращения с твердыми коммунальными отходами; устанавливать нормативы накопления твердых коммунальных отходов,Утверждать предельные тарифы в области обращения с твердыми коммунальными отходами,-,Функция,-
1421,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.8-25.,Комитет по тарифам Санкт-Петербурга,В области обращения с твердыми коммунальными отходами: утверждать предельные тарифы в области обращения с твердыми коммунальными отходами; утверждать инвестиционные программы в области обращения с твердыми коммунальными отходами; утверждать производственные программы в области обращения с твердыми коммунальными отходами; устанавливать нормативы накопления твердых коммунальных отходов,Утверждать инвестиционные программы в области обращения с твердыми коммунальными отходами,-,Функция контроля (надзора),-
1422,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.8-25.,Комитет по тарифам Санкт-Петербурга,В области обращения с твердыми коммунальными отходами: утверждать предельные тарифы в области обращения с твердыми коммунальными отходами; утверждать инвестиционные программы в области обращения с твердыми коммунальными отходами; утверждать производственные программы в области обращения с твердыми коммунальными отходами; устанавливать нормативы накопления твердых коммунальных отходов,Устанавливать нормативы накопления твердых коммунальных отходов,-,Функция контроля (надзора),-
1423,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.8-12.,Комитет по тарифам Санкт-Петербурга,"Утверждать нормативы удельного расхода топлива при производстве тепловой энергии источниками тепловой энергии, за исключением источников тепловой энергии, функционирующих в режиме комбинированной выработки электрической и тепловой энергии с установленной мощностью производства электрической энергии 25 мегаватт и более","Утверждать нормативы удельного расхода топлива при производстве тепловой энергии источниками тепловой энергии, за исключением источников тепловой энергии, функционирующих в режиме комбинированной выработки электрической и тепловой энергии с установленной мощностью производства электрической энергии 25 мегаватт и более",-,Функция,-
1424,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.7-1.,Комитет по тарифам Санкт-Петербурга,Утверждать нормативы потребления коммунальных услуг и нормативы потребления коммунальных ресурсов в целях содержания общего имущества в многоквартирном доме,Утверждать нормативы потребления коммунальных услуг и нормативы потребления коммунальных ресурсов в целях содержания общего имущества в многоквартирном доме,-,Функция,-
1425,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.8-22.,Комитет по тарифам Санкт-Петербурга,"Утверждать инвестиционные программы организаций, осуществляющих регулируемые виды деятельности в сфере теплоснабжения, с применением установленных Комитетом плановых значений показателей надежности и энергетической эффективности объектов теплоснабжения.","Утверждать инвестиционные программы организаций, осуществляющих регулируемые виды деятельности в сфере теплоснабжения, с применением установленных Комитетом целевых показателей надежности и качества поставляемых товаров и оказываемых услуг такими организациями",-,Функция,-
1426,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.9-2.,Комитет по тарифам Санкт-Петербурга,"Утверждать инвестиционные программы организаций, осуществляющих горячее водоснабжение, холодное водоснабжение и(или) водоотведение","Утверждать инвестиционные программы организаций, осуществляющих горячее водоснабжение, холодное водоснабжение и(или) водоотведение",-,Функция контроля (надзора),-
1427,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.8-18.,Комитет по тарифам Санкт-Петербурга,"Утверждать в соответствии со стандартами раскрытия информации теплоснабжающими организациями, тепло сетевыми организациями, органами регулирования и с учетом отраслевых, технологических, структурных, географических и других особенностей деятельности указанных организаций формы предоставления теплоснабжающими организациями, тепло сетевыми организациями информации, к которой обеспечивается свободный доступ, и правила заполнения теплоснабжающими организациями, тепло сетевыми организациями форм предоставления информации, утвержденных в установленном порядке","Утверждать в соответствии со стандартами раскрытия информации теплоснабжающими организациями, тепло сетевыми организациями, органами регулирования и с учетом отраслевых, технологических, структурных, географических и других особенностей деятельности указанных организаций формы предоставления теплоснабжающими организациями, тепло сетевыми организациями информации, к которой обеспечивается свободный доступ, и правила заполнения теплоснабжающими организациями, тепло сетевыми организациями форм предоставления информации, утвержденных в установленном порядке",-,Функция контроля (надзора),-
1428,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.9-1.,Комитет по тарифам Санкт-Петербурга,Устанавливать тарифы в сфере водоснабжения и водоотведения,Установливать тарифы в сфере водоснабжения и водоотведения,-,Функция,-
1429,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.7.,Комитет по тарифам Санкт-Петербурга,"Устанавливать цены на твердое топливо, реализуемое гражданам, управляющим организациям, товариществам собственников жилья, жилищным, жилищно-строительным или иным специализированным потребительским кооперативам, созданным в целях удовлетворения потребностей граждан в жилье","Установление цен на твердое топливо, реализуемое гражданам, управляющим организациям, товариществам собственников жилья, жилищным, жилищно-строительным или иным специализированным потребительским кооперативам, созданным в целях удовлетворения потребностей граждан в жилье",-,Функция,-
1430,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.5.,Комитет по тарифам Санкт-Петербурга,"Устанавливать цены (тарифы) на электрическую энергию (мощность), поставляемую населению и приравненным к нему категориям потребителей, в рамках установленных ФАС России предельных (минимального и(или) максимального) уровней таких цен (тарифов)","Устанавливать цены (тарифы) на электрическую энергию (мощность), поставляемую населению и приравненным к нему категориям потребителей",-,Функция,-
1431,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.8-13.,Комитет по тарифам Санкт-Петербурга,"Устанавливать цены (тарифы) или предельные (минимальный и(или) максимальный) уровни цен (тарифов) на электрическую энергию (мощность), произведенную на функционирующих на основе использования возобновляемых источников энергии квалифицированных генерирующих объектах и приобретаемую в целях компенсации потерь в электрических сетях","Устанавливать цены (тарифы) или предельные (минимальный и (или)максимальный) уровни цен (тарифов) на электрическую энергию (мощность), произведенную на функционирующих на основе использования возобновляемых источников энергии квалифицированных генерирующих объектах и приобретаемую в целях компенсации потерь в электрических сетях",-,Функция,-
1432,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.18-1.,Комитет по тарифам Санкт-Петербурга,"Устанавливать требования к программам в области энергосбережения и повышения энергетической эффективности организаций, осуществляющих регулируемые виды деятельности, в случае если цены (тарифы) на товары, услуги таких организаций подлежат установлению Комитетом","Устанавливать требования к программам в области энергосбережения и повышения энергетической эффективности организаций, осуществляющих регулируемые виды деятельности, в случае если цены (тарифы) на товары, услуги таких организаций подлежат установлению Комитетом",-,Функция,-
1433,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.1.,Комитет по тарифам Санкт-Петербурга,"Устанавливать тарифы на услуги по передаче электрической энергии по электрическим сетям, принадлежащим на праве собственности или ином законном основании территориальным сетевым организациям, в рамках установленных ФАС России предельных (минимального и(или) максимального) уровней тарифов на услуги по передаче электрической энергии по указанным электрическим сетям, а также тарифы на услуги по передаче тепловой энергии, теплоносителя","Устанавливать тарифы на услуги по передаче электрической энергии по электрическим сетям, принадлежащим на праве собственности или ином законном основании территориальным сетевым организациям, в рамках установленных ФАС России предельных (минимального и(или) максимального) уровней тарифов на услуги по передаче электрической энергии по указанным электрическим сетям",-,Функция,-
1434,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.8-9.,Комитет по тарифам Санкт-Петербурга,"Устанавливать тарифы на транспортные услуги, оказываемые на подъездных железнодорожных путях организациями промышленного железнодорожного транспорта и другими хозяйствующими субъектами независимо от организационно-правовой формы, за исключением организаций федерального железнодорожного транспорта","Устанавливать тарифы на транспортные услуги, оказываемые на подъездных железнодорожных путях организациями промышленного железнодорожного транспорта и другими хозяйствующими субъектами независимо от организационно-правовой формы, за исключением организаций федерального железнодорожного транспорта",-,Функция,-
1435,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.8-8.,Комитет по тарифам Санкт-Петербурга,Устанавливать тарифы на перевозки пассажиров и багажа на местных авиалиниях и речным транспортом в местном сообщении и на переправах,Устанавливать тарифы на перевозки пассажиров и багажа на местных авиалиниях и речным транспортом в местном сообщении и на переправах,-,Функция,-
1436,"Постановление Правительства Санкт-Петербурга от 13.09.2005 N 1346 ""О Комитете по тарифам Санкт-Петербурга""",3.3.,Комитет по тарифам Санкт-Петербурга,"Устанавливать тарифы на тепловую энергию (мощность), поставляемую теплоснабжающими организациями потребителям, в соответствии с установленными ФАС России предельными (минимальным и(или) максимальным) уровнями указанных тарифов, а также тарифы на тепловую энергию (мощность), поставляемую теплоснабжающими организациями другим теплоснабжающим организациям",Устанавливать тарифы в сфере теплоснабжения,-,Функция,-
