№ в ГТИБД,Название,Класс,Кол-во комнат,Кол-во спальных мест,Адрес,Район,Телефоны,Факсы,Официальный сайт,Электронная почта,Примечания,Услуги,Координаты
16865,"Гостевой дом ""Арка""",Малое средство размещения,5,5,"Санкт-Петербург, ул. Большая Конюшенная, д.17 , пом.13",Центральный,+7(812)272-64-93,Нет,Https://vk.com/hotel_baskof,Mail@baskof-hotel.com,"Этот небольшой гостевой дом расположен в самом центре Санкт-Петербурга, всего в 7 минутах ходьбы от всемирно известного музея Эрмитаж. В гостевом доме «Арка» предоставляется бесплатный Wi-Fi. Номера гостевого дома оформлены в классическом стиле в теплых тонах. В каждом номере есть телевизор с плоским экраном и собственная ванная комната. В 2 минутах ходьбы работают различные кафе и рестораны. Прогулка до оживленного Невского проспекта занимает всего 5 минут, а до Казанского собора 7 минут.",Бесплатный Wi-Fi Можно с питомцами Отопление Лифт,"59.938784,30.323126"
16866,Купчино,Мини-отель,14,14,"Санкт-Петербург, Южное шоссе, 39/5",Фрунзенский,7 (812) 973-50-50,Нет,Http://saunakupchino.ru,Info@goldamour.ru,"Окунитесь в атмосферу веселья и отдыха, которую мы создали для Вас в нашем отеле. Центр отдыха ""Купчино” - это всегда приветливый персонал, готовый предоставить индивидуальное обслуживание нашим гостям. Мы также рады предложить широкий спектр услуг, который удовлетворит вашим потребностям.","Парковка, сауна, массаж","59.862971,30.415563"
17096,"Пансионат ""Балтиец"" 1 корпус (семейный)",Пансионат,191,300,"197738, Санкт-Петербург, поселок Репино, Приморское шоссе, д. 427, литер В",None,8 (812) 329-39-00,Нет,Www.baltiets.ru,M-br-1@turris-management.ru,"Творческая команда аниматоров пансионата «Балтиец« рада дарить гостям улыбки и веселье каждый день. Разнообразные мероприятия для взрослых и детей сделают каждый день, проведенный в пансионате »Балтиец», ярким и насыщенным. Праздничное настроение, приятные впечатления, новые знакомства и открытия непременно сделают Ваш отдых запоминающимся, и Вы захотите вернуться в «Балтиец« вновь и вновь! В афише пансионата »Балтиец» Вы всегда найдете групповые спортивно-оздоровительные занятия, детские и семейные мероприятия, вечернюю программу для взрослых гостей, кинопросмотры, дискотеки и многое другое.","Сильная медицинская база и европейские стандарты обслуживания: Полноценное лечение, персональный лечащий врач, проведение процедур 7 дней в неделю. Индивидуальный подбор процедур. Разнообразные лечебные программы для взрослых и детей. Современное оборудование лучших производителей Германии, Франции и России. Оснащение медицинского центра производилось в 2016 году с учетом самых современных медицинских санаторно-курортных технологий. Диагностика резервов адаптации организма человека до и после лечения. По результатам лечения составляется индивидуальная программа диеты, тренировок, медицинские рекомендации. Увлекательная анимационная программа пансионата «Балтиец« для детей и взрослых позволит взрослым спокойно заниматься собственным здоровьем, и всей семье получить положительные эмоции и незабываемые впечатления. Расположение в посёлке Репино Курортного района Санкт-Петербурга, который не одно столетие является излюбленным местом отдыха жителей Санкт-Петербурга. Финский залив находится в нескольких минутах ходьбы от пансионата. Комфортные номера в основном здании пансионата »Балтиец» и в других более уединенных корпусах. Транспортная доступность. Железнодорожная станция Репино находится в 1 км, до Московского вокзала в Санкт-Петербурге - 45 км, а до аэропорта Пулково - 80 км. Для гостей, приехавших на автомобиле - бесплатная стоянка. Развитая инфраструктура комплекса. Плавательный бассейн с новой системой фильтрации и очистки воды. Здоровое и вкусное питание.","60.165478,29.873565"
17100,Загородный клуб «Скандинавия» и СПА,Отель,15,40,"Санкт-Петербург, Сестрорецк, ул. Парковая, 16",None,7 812 434 11 00,Нет,Skandinavia.ru,Reception@skandinavia.ru,"Загородный Клуб ""Скандинавия"" и СПА расположен в городе Сестрорецке в 40 минутах езды от Дворцовой площади на берегу Финского залива в Курортном районе Санкт-Петербурга, 60 км по КАДу к северу от аэропорта Пулково. Адрес: Улица Парковая, 16, г. Сестрорецк, Санкт-Петербург, 197706, Россия Местоположение на карте Google Как проехать Машина на машине по Приморскому шоссе (35 км от центра) Маршрутное такси № 417 от станции метро ""Черная речка"" до остановки ул. Курортная (Сестрорецк) № 425 от станции метро ""Черная речка"" до железнодорожной станции ""Сестрорецк"" и потом пешком (15 мин) или на такси до Отеля № 305 от станции метро ""Старая деревня"" до железнодорожной станции ""Сестрорецк"" и потом пешком (15 мин) или на такси (2 мин) до Отеля № 400 от станции метро ""Площадь Ленина""/ Финляндского вокзала до железнодорожной станции ""Сестрорецк и потом пешком (15 мин) или на такси (2 мин) до Отеля Автобус № 211 от станции метро ""Черная речка"" до центра Сестрорецка и потом пешком (15 мин) или на такси (2 мин) до Отеля Электричка от Финляндского вокзала до железнодорожной станции ""Сестрорецк"" или ""Сестрорецкий Курорт"" и потом пешком (10 - 15 мин) или на такси (2 мин) до Отеля Такси в Сестрорецке Тел: 242 1111/ 437 0000/ 434 0000 (~150 руб. От вокзала до Отеля)","Услуги СПА-центра: различные виды массажей, обёртывания и СПА-ритуалы, процедуры для лица и тела, сауны и парные, маникюрный и педикюрный кабинеты; Подогреваемый бассейн на открытом воздухе и ванны джакузи;","60.103311,29.949158"
17101,"Пансионат ""Восток-6""",Пансионат,450,900,"197729, Санкт-Петербург, п. Смолячково, Приморское ш., д. 704",None,+7 (812) 433-27-82,Нет,Https://vostok-6.ru/,4332782@4332250.ru,"Пансионат ""Восток-6"" это уникальное с точки зрения природно-климатических условий место для отдыха в Санкт-Петербурге и Ленинградской области. Природа создала здесь великолепные условия для предоставления санаторно-курортного отдыха и лечения. Пансионат Восток 6 расположен в пригороде Санкт-Петербурга, в Курортном районе на большой живописной территории с участками соснового и смешанного лесов, территория граничит с широкой полосой пляжа, речкой «Приветинкой», что создает особый благотворный микроклимат, способствующий хорошему отдыху и оздоровлению.",Профилактика заболеваний офисных работников Антистресс Борьба с усталой кожей в условиях мегаполиса Профилактика и лечение хронического геморроя Лечение и медицинская реабилитация заболеваний органов дыхания,"60.173812,29.453863"
17103,Санаторий «Балтийский берег»,Санаторий,200,400,"197720, Санкт-Петербург, Курортный район, г.Зеленогорск, ул.Курортная,д.1",None,8 (812) 433-54-90,Нет,Baltbereg.info,Secr_35@sso.metro.spb.ru,"Ищете, где укрепить здоровье? Беспокоит хроническая усталость? Санаторий ""Балтийский берег"" в Зеленогорске - один из лучших санаториев Санкт-Петербурга и Ленинградской области, и мы всегда рады видеть вас среди наших гостей и предоставить вам комфортабельный отдых и санаторно-курортное лечение под наблюдением квалифицированных врачей.",Бассейн тренажерный зал и открытая спортивная площадка кинозал бильярдная малый конференцзал библиотека детская площадка,"60.192451,29.725477"
17104,СР «Сестрорецкий курорт»,Санаторий,30,70,"Санкт-Петербург, г. Сестрорецк, ул. М.Горького, д. 2",None,8 (812) 434-17-00,Нет,Www.kurort.ru,Info@kurort.ru,"Санаторий «Сестрорецкий курорт» – многопрофильное лечебно-оздоровительное учреждение, которое поможет вам в лечении и профилактике широкого спектра заболеваний.",Сердечно-сосудистая система Органы пищеварения Опорно-двигательный аппарат Нервная система Органы дыхания Мочеполовая система Эндокринная система Онкология Wellness Лечебный бассейн с минеральной водой Массаж Диагностика Wellness & SPA Солярий Рефлексотерапия Тайцзицюань Ванны Души Лечебный бассейн с минеральной водой Грязелечение Скандинавская ходьба Массаж Орторелаксация Косметология Гирудотерапия О САНАТОРИИ,"60.113899,29.950577"
17105,Спортивно-оздоровительный комплекс «FORRESTMIX»,Спортивно-оздоровительный,105,300,"197738, Санкт-Петербург, пос. Репино, ул. Луговая, д.10, лит. А",None,8 (812) 406-75-15,Нет,Www.forrestmix.ru,Info@forrestmix.ru,"OrRestMix Club - место притяжения приверженцев активного отдыха, поклонников расслабляющих процедур и гурманов - любителей побаловать себя хорошей кухней. ForRestMix Club предлагает для размещения 107 просторных гостевых номеров различных категорий. Интерьер Клуба выполнен в загородном скандинавском стиле, с панорамными окнами и террасами. Декор номеров воплощает простую эстетику современного комфорта и экологичности. SPA club - предусматривает четыре направления, где собраны новейшие технологии WELLNESS – индустрии: - медицинская косметология, направленная на восстановление после пластических операций, - SPA программы по комплексному уходу за лицом и телом - студия красоты, - спортивная зона с бассейном, силовыми и кардиотренажерами, залами для восточных единоборств, аэробных занятий и занятий йогой.",Плаванье Фитнес Греко-римская борьба и бокс Танцы Аэробика Кросс-фит,"60.168911,29.870879"
17106,"Пансионат ""Балтиец"" главный корпус",Пансионат,191,300,"197738, Санкт-Петербург, п. Репино, Приморское шоссе д.427, лит. Д",None,8(812) 329-39-00,Нет,Www.baltiets.ru,M-br-1@turris-management.ru,"Творческая команда аниматоров пансионата «Балтиец« рада дарить гостям улыбки и веселье каждый день. Разнообразные мероприятия для взрослых и детей сделают каждый день, проведенный в пансионате »Балтиец», ярким и насыщенным. Праздничное настроение, приятные впечатления, новые знакомства и открытия непременно сделают Ваш отдых запоминающимся, и Вы захотите вернуться в «Балтиец« вновь и вновь! В афише пансионата »Балтиец» Вы всегда найдете групповые спортивно-оздоровительные занятия, детские и семейные мероприятия, вечернюю программу для взрослых гостей, кинопросмотры, дискотеки и многое другое.","Ильная медицинская база и европейские стандарты обслуживания: Полноценное лечение, персональный лечащий врач, проведение процедур 7 дней в неделю. Индивидуальный подбор процедур. Разнообразные лечебные программы для взрослых и детей. Современное оборудование лучших производителей Германии, Франции и России. Оснащение медицинского центра производилось в 2016 году с учетом самых современных медицинских санаторно-курортных технологий. Диагностика резервов адаптации организма человека до и после лечения. По результатам лечения составляется индивидуальная программа диеты, тренировок, медицинские рекомендации. Увлекательная анимационная программа пансионата «Балтиец« для детей и взрослых позволит взрослым спокойно заниматься собственным здоровьем, и всей семье получить положительные эмоции и незабываемые впечатления. Расположение в посёлке Репино Курортного района Санкт-Петербурга, который не одно столетие является излюбленным местом отдыха жителей Санкт-Петербурга. Финский залив находится в нескольких минутах ходьбы от пансионата. Комфортные номера в основном здании пансионата »Балтиец» и в других более уединенных корпусах. Транспортная доступность. Железнодорожная станция Репино находится в 1 км, до Московского вокзала в Санкт-Петербурге - 45 км, а до аэропорта Пулково - 80 км. Для гостей, приехавших на автомобиле - бесплатная стоянка. Развитая инфраструктура комплекса. Плавательный бассейн с новой системой фильтрации и очистки воды. Здоровое и вкусное питание.","60.165992,29.871148"
18476,Каспий,Гостиница,17,34,"Санкт-Петербург, 11-я линия В.О., д. 18, лит. В",Василеостровский,8-921-778-85-38,Нет,Нет,Aysel.com09@mail.ru,"Мини-отель «Каспий« расположен в Санкт-Петербурге, в 2 км от часовни Святой Ксении. К услугам гостей ресторан, бесплатная частная парковка, бар и терраса. Мини-гостиница находится примерно в 2,4 км от Мариинского театра, в 2,5 км от Исаакиевского собора и в 2,6 км от стадиона »Петровский».",Бесплатный Wi-fi круглосуточная регистрация,"59.938392,30.27521"
18477,Гагаринские бани,Мини-отель,3,6,"Санкт-Петербург, пр. Юрия Гагарина, д.1",Московский,+7 (812) 329-36-60,Нет,Www.gagarina.org,Sauna-hotel2017@yandex.ru,БАННЫЙ КОМПЛЕКС ДЛЯ ВСЕЙ СЕМЬИ С ОТЕЛЕМ,"Бассейн, комнаты отдыха, Wi-fi, уборка, телевизор","59.874693,30.33591"
18478,РИЧ,Мини-отель,10,18,"Санкт-Петербург, ул .Восстания д.1",Центральный,+7 (812) 7027575,Нет,Https://vk.com/rich_hotel,Rich-otel@yandex.ru,"Мини-отель «Рич» расположен в центре Санкт-Петербурга, в нескольких шагах от станции метро »Площадь Восстания« и Невского проспекта. Это расположение в Санкт-Петербурге называют «золотым треугольником», потому что до всех основных достопримечательностей рукой подать! А также железнодорожный вокзал находится в 3х минутах ходьбы от отеля.",Круглосуточная регистрация,"59.932004,30.360892"
18479,The RED,Мини-отель,12,24,"191024, Санкт-Петербург, улица 2-я Советская, дом 18, литер Б, помещение 3",Центральный,+7 812 710 25 05,Нет,Нет,Iptrutru@yandex.ru,"Апартаменты The RED расположены в Санкт-Петербурге, в 2 км от Музея Анны Ахматовой и в 2,1 км от Музея Фаберже. На территории работает ресторан и бар.",Бесплатный Wi-Fi и кондиционер,"59.93057,30.372731"
18480,Forte Inn,Отель,7,14,"Санкт-Петербург, Греческий проспект, д.29, лит.Е",Центральный,+7(812)3094101,Нет,Нет,Booking@forteinn.ru,3-звездочный Форте Инн расположен всего в 2.3 км от Гостиный Двор. Классический отель в Санкт-Петербурге привлекает внимание своей архитектурой в стиле арт-нуво.,Wi-fi парковка трансфер прачечная хранение багажа,"59.938351,30.370351"
18481,L'amitie,Отель,12,24,"Санкт-Петербург, пр. Обуховской Обороны д 120 лит Л",Невский,8(812) 448-32-78,Нет,Нет,Drujba2627@mail.ru,"Гостиница L`amitie Hotel предлагает сервис для людей, выбирающих в качестве отдыха путешествия. Для хорошего досуга L`amitie Hotel предлагает гостям города проживание в отеле, где комфортабельные номера разного класса оснащены всем необходимым",Wi-fi ресторан,"59.863662,30.474942"
18482,Аллея,Отель,15,15,"Санкт-Петербург, 1-я линия В,О д.34, лит.А, пом.8Н",Василеостровский,8(812)644-71-35,Нет,Нет,Alleya@avangard-hotel.com,"Аллея – это бизнес 3-звёздочный отель, который расположен в 1.7 км от Дворцовая Площадь. Исаакиевский собор находится в 1.5 км от отеля. Займет 20 минут, чтобы дойти от отеля до центра Санкт-Петербурга. К торговым центрам и магазинам всего несколько минут пешком от отеля.",Бесплатная парковка Современная ванная комната с ванной или душем Туалет Фен ТВ Телефон Wi-Fi,"59.943755,30.287499"
18483,Белое ерево,Отель,103,190,"Санкт-Петербург, ул. Демьяна Бедного, дом 3, лит. А",Калининский,+7 (812) 497-90-16,Нет,Www.beloe-derevo.com,Info@beloe-derevo.com,"Отель «Белое Дерево» – новый отель 3*** в Санкт-Петербурге – открыл свои двери для гостей зимой 2017 года. В пешей доступности от отеля находятся спортивные и бизнес-центры, крупные супермаркеты, торговый центр Родео Драйв, аквапарк, больницы (НИИ травматологии и ортопедии им. Р.Р. Вредена и Елизаветинская больница). Любители прогулок на свежем воздухе обязательно оценят живописный Муринский парк с озером (3 минуты пешком).","Трансфер, Wi-fi, конференц зал, экскурсионное обслуживание","60.034897,30.381158"
18484,Гамма,Отель,47,47,"Санкт-Петербург, НАБЕРЕЖНАЯ ОБВОДНОГО КАНАЛА, Д.130, ЛИТ.А, ПОМ. 1-Н",Адмиралтейский,88126020727.0,Нет,Www.hotelgamma.ru,Info@hotelgamma.ru,"The Gamma hotel – новый бутик- отель в центре делового Петербурга. «ГАММА» входит в ТОП-10 лучших дизайнерских бутик отелей мира по версии ELLE Decoration. The GAMMA Hotel – лауреат международной профессиональной премии ADD Awards как лучший дизайнерский отель, победитель Национальной гостиничной премии 2019 как лучший свадебный отель, ресторан NOK лауреат премии PUBLIC SPACE AWARD за лучший интерьер.",Бесплатная охраняемая парковка Welcome Drink / Приветственные напитки Бесплатное посещение хаммама с 18:00 до 21:00 Специальные завтраки по меню Sculptors Bar целый день Для гостей номеров категории «Люкс»: 30 минутный массаж в подарок возможность проведения часовой фотосессии,"59.908534,30.29209"
18485,КАСКАД,Отель,8,16,"Санкт-Петербург, г. Петергоф, ул. Никольская, д. 6а, лит. Б, строение 1",Петродворцовый,921-907-78-75,Нет,Нет,Smith16.61@mail.ru,Отель эконом класса,Удобства для гостей с ограниченными физическими возможностями Гладильные принадлежности Телефон Фен (по запросу) Питание Холодильник Интернет Доступ в интернет Парковка Факс и ксерокс,"59.8757,29.919684"
18486,Измайловский,Хостел,14,56,"Санкт-Петербург, ул.Измайловский пр д.2",Адмиралтейский,89500276187.0,Нет,Нет,Izmailovskyspb@yandex.ru,"Хостел ""Измайловский"" расположился в знаменитом Адмиралтейском районе Санкт-Петербурга. В номерах чисто и по-домашнему уютно, есть все необходимое для комфортного проживания. По просьбе предоставляется фен, удобства находятся на этаже. В отеле есть полностью оборудованная общая кухня, а в каждом номере обеденная зона с мягкими стульями. Рядом с отелем находится множество достопримечательностей, таких как Юсуповский и Мариинский дворцы, Дом Раскольникова, небезызвестное Котокафе, Исаакиевский собор, Музей камня, Марсово поле.",Ежедневная уборка номера Семейные номера Круглосуточная стойка регистрации Прачечная или Химчистка Трансфер от/до аэропорта Курение на всей территории запрещено Камера хранения багажа Фен БЕСПЛАТНО Интернет Wi-Fi БЕСПЛАТНО,"59.91802,30.308161"
18487,Qwerty,Хостел,4,18,"Санкт-Петербург , ул. 7-я Советская дом 28 , кв.1",Центральный,79110099888.0,Нет,Https://vk.com/qwertyhostel,Info@qwertyhostel.ru,"Хостел «QWERTY» находится в самом центре Санкт-Петербурга, в шаговой доступности от Московского вокзала и станции метро »Площадь Восстания«. Рядом с нами есть: супермаркет, столовая, кафе, отделение Сбербанка, парковая зона, концертный зал «Октябрьский» и, конечно, Невский проспект. В конце лета 2015 мы сделали капитальный ремонт первого этажа исторического дома архитектора К.Э.Маккензена на 7-ой Советской для того, чтобы Вы окунулись в колорит старого Петербурга, но чувствовали себя совершенно комфортно в окружении современных удобств.","Стиральная машина, фен, гладильная доска и утюг, услуги химчистки; WiFi с высокоскоростным интернетом, принтер/сканер, набор зарядных устройств для телефонов и прочие приятные мелочи (например на кухне кофе, чай, сахар!)","59.935579,30.374312"
18488,Галерея,Хостел,5,44,"Санкт-Петербург, Загородный пр., д. 21-23, кв. 4",Центральный,8 (812) 917-40-10,None,Https://galleryhostel.vsite.biz/,Gallery.hostel.spb@gmail.com,"Хостел «Галерея« находится в центре Санкт-Петербурга, на Загородном проспекте, в 5 минутах ходьбы от станций метро Достоевская- Владимирская, Звенигородская, Владимирской площади и Владимирского собора, звон колоколов которого так любил Ф.М.Достоевский и которые слышны в »Галерее» каждый час.","Для всех гостей предоставляется бесплатный Wi-Fi, чай и кофемашина. В хостеле имеется камера хранения багажа, изолированная комната для курения.","59.92497,30.339081"
18489,КОМФОРТ,Апарт-отель,24,24,"Санкт-Петербург, Лиговский пр.84/2 лит.Б",Центральный,+7 (812) 454-88-55,+7 (812) 454-88-55,Www.comfort-apart.ru,Info@comfort-apart.ru,"Апарт-отель «Комфорт» расположен в центральном районе Санкт-Петербурга на пересечении Лиговского проспекта и Транспортного переулка (ранее носившего название переулок Чубарова). Здание, где сейчас располагается комплекс апартаментов, было построено в 1872 году архитектором В.Ф. Фон Геккером, в 1880-1881 годах оно было перестроено. Здание обрело современный вид в начале 90-х годов прошлого века после капитального ремонта. В 2017 году в преддверии чемпионата мира по футболу было принято решение о строительстве современного апарт-отеля. На данный момент номерной фонд отеля состоит из 27 апартаментов трёх различных категорий.","Парковка во внутреннем дворе гостиницы Высокоскоростной интернет Wi-Fi на всей территории отеля Уборка раз в пять дней Услуги службы «Консьерж» Копирование, сканирование и печать документов Камера хранения Wake-up call (услуга побудки)","59.921137,30.355807"
18490,Северный ветер,Апарт-отель,6,6,"Санкт-Петербург, Московский проспект, 42/27, лит. А",Московский,88129065804.0,None,Https://nwapart.ru/,Nwaparthotel@gmail.com,Краткосрочная аренда от суток. Апартаменты-студио с собственными кухнями и ванными комнатами.,"Бесплатный WI-FI, парковка, уборка.","59.914155,30.318608"
18491,Old Flat на Белинского,Гостевой дом,1,1,"Санкт-Петербург, ул. Белинского дом 5 кв 19",Центральный,88127178490.0,Нет,Oldflat-hotel.ru,Old_flat@mail.ru,"Мини-отели,хостелы апартаменты и гостевые дома ""Old Flat"" (""Олд Флэт"") квартирно-гостиничного типа находятся в историческом центре Санкт-Петербурга","Современная бытовая и офисная техника Современная мебель в номерах и холлах Средства коммуникации: интернет (wi-fi зона), городской телефон, Skype. Предметы быта и личной гигиены В номерах качественный ремонт с сохранением элементов старого декора Камин (в некоторых номерах)","59.938072,30.345818"
18492,Old Flat на Жуковского,Гостевой дом,3,3,"Санкт-Петербург, ул. Жуковского, д.6 кв 97",Центральный,88127178490.0,Нет,Oldflat-hotel.ru,Old_flat@mail.ru,"Мини-отели,хостелы апартаменты и гостевые дома ""Old Flat"" (""Олд Флэт"") квартирно-гостиничного типа находятся в историческом центре Санкт-Петербурга","Современная бытовая и офисная техника Современная мебель в номерах и холлах Средства коммуникации: интернет (wi-fi зона), городской телефон, Skype. Предметы быта и личной гигиены В номерах качественный ремонт с сохранением элементов старого декора Камин (в некоторых номерах)","59.936165,30.351352"
18493,"Городские крыши/Guest House ""City roof""",Гостевой дом,5,11,"Санкт-Петербург, ул. Гороховая, д.32, кв.108",Центральный,89602309000.0,Нет,Нет,Roofapart@mail.ru,"Гостевой дом City Roof расположен в Санкт-Петербурге, в 1,5 км от Государственного Русского музея и в 1,6 км от Исаакиевского собора.","Общий лаундж, бесплатный Wi-Fi на всей территории и бесплатная частная парковка. Круглосуточная стойка регистрации, общая кухня и билетная касса.","59.929434,30.320988"
18494,"Календарь/ Guest House ""Calendar""",Гостевой Дом,7,13,"Санкт-Петербург, Петропавловская ул., 8-42",Петроградский,89117076986.0,Нет,Нет,Gh.nadezhda@mail.ru,Что интересного поблизости В районе Петроградская сторона Петропавловская крепость – в 26 мин ходьбы Ботанический сад БИН РАН в Санкт-Петербурге – в 10 мин ходьбы Санкт-Петербургский музей игрушки – в 12 мин ходьбы Санкт-Петербургская соборная мечеть – в 19 мин ходьбы Планетарий – в 20 мин ходьбы Государственный музей политической истории России – в 22 мин ходьбы Музей сновидений Зигмунда Фрейда – в 24 мин ходьбы Ленинградский зоопарк – в 26 мин ходьбы,Количество номеров для некурящих: 7 Ежедневная уборка номеров Услуги прачечной Хранение багажа Бесплатный WiFi,"59.967209,30.314772"
18495,"В.О.14 / Guest house ""V.O.14",Гостевой дом,5,10,"Санкт-Петербург, 14 линия В.О., д. 31-33, кв. 6",Василеостровский,89818337872.0,Нет,Нет,Vo14.vo14@gmail.com,"Гостевой дом «В.О.14» расположен в 9 минутах ходьбы от станции метро »Василеостровская« в Санкт-Петербурге. Московский вокзал расположен в 7,3 км от гостевого дома «В.О.14», а международный аэропорт Пулково - в 19,2 км. Гости могут приготовить еду на общей кухне или посетить близлежащие кафе и рестораны.",Номера с местом для работы и общая ванная комната. С сауной и бесплатным Wi-Fi,"59.938811,30.270557"
18496,Завтра в Питер,Гостевой Дом,5,12,"Санкт-Петербург, улица Захарьевская, дом 9",Центральный,89627269584.0,Нет,Нет,Zavtravpiter9@gmail.com,"Гостевой дом «Завтра в Питер» удобно расположен в Центральном районе Санкт-Петербурга, в 2,4 км от музея Анны Ахматова, в 2,7 км от Летнего сада и в 2,9 км от храма Спаса-на-Крови",Бесплатный Wi-Fi Семейные номера Трансфер от/до аэропорта Номера для некурящих Доставка еды и напитков в номер Отопление,"59.947577,30.352385"
18497,Рога и Копыта,Гостевой дом,5,10,"Санкт-Петербург, ул. Боровая, д. 11-13, лит. А, пом. 5-Н",Центральный,89315988223.0,Нет,Нет,Denisklunovs@gmail.com,"Апартаменты «Рога» расположены в Санкт-Петербурге. Из апартаментов открывается вид на сад. В числе удобств стиральная машина, полностью оборудованная мини-кухня с микроволновой печью и собственная ванная комната с феном и бесплатными туалетно-косметическими принадлежностями. В числе удобств холодильник, плита и чайник.","К услугам гостей апартаментов I Kopyta бесплатный Wi-Fi, телевизор с плоским экраном и сад.","59.920902,30.347354"
18498,Адмирал,Гостиница,77,77,"Санкт-Петербург, ул. Савушкина, д,14 А",Приморский,88124307140.0,Нет,Нет,Sz13-fgup-ugh@mail.ru,"Гостиница Адмирал представляет сервис для людей, предпочитающих в качестве досуга путешествия. Для хорошего времяпрепровождения Адмирал предлагает гостям разместиться в отеле, где уютные номера разных категорий обустроены всем необходимым по невысоким ценам. В случае, когда требуется что-либо отличное от стандартного спектра услуг, лучше оповестить заблаговременно для того, чтобы работники отеля смогли подготовиться, и тогда не придется тратить время на ожидание.",Кафе,"59.985102,30.295647"
18499,Петроградская,Гостиница,25,46,Санкт-Петербург Большой проспект П.С. 27/1,Петроградский,89111555515.0,Нет,Отель-петроградский.рф,Hotel-petrogradskiy@yandex.ru,Сеть недорогих отелей «Петроградский» в исторической части Санкт-Петербурга,"Интернет, уборка, завтрак","59.95739,30.298845"
18500,Holiday Inn Express St.Petersburg-Sadovaya,Гостиница,244,432,"Санкт-Петербург, ул. Садовая, д. 62",Адмиралтейский,88124016277.0,Нет,Www.sadovaya62.ru,Info@sadovaya62.ru,"Отель знаменит своим расположением в районе Адмиралтейский Санкт-Петербурга, в 30 минутах ходьбы от Smoke Shop и всего лишь в 2.3 км от Музей Эрмитаж. Всего 30 минут пешком от отеля до центра Санкт-Петербурга. В каждом номере этого отеля есть платное телевидение, телевизор с плоским экраном и рабочий стол Отель предлагает размещение в номерах для некурящих с видом на собор. Во всех есть матрас с пружинным блоком, гипоаллергенные подушки и подушки из пены с памятью, а также душевая кабина открытого типа, фен и тропический душ.","Здесь можно воспользоваться внутренним двором и общим лаунж-залом, а также бизнес-центром, комнатой для переговоров и ксероксом.","59.921155,30.302384"
18501,WYNWOOD,Гостиница,37,74,"Санкт-Петербург, наб. Канал Грибоедова дом 18-20, пом. 9Н",Центральный,+7 911 207 18 20,Нет,Http://wynwood.co/,Wynwoodspb@gmail.com,"WYNWOOD Hotel – комфортабельный современный отель в стиле лофт. Занимает здание исторического наследия, которое хранит в себе память императорских эпох. Интерьер с функциональным и эксклюзивным дизайном. Вдохновлен духом креативного района Wynwood Art District в Майами.",Услуги прачечной и химчистки Услуга «Будильник» Ксерокс Быстрая и надежная отправка корреспонденции,"59.934677,30.326756"
18502,Гостиница для иностранных военнослужащих,Гостиница,224,224,"Санкт-Петербург, пр. Тореза, д.32",Выборгский,88125524830.0,Нет,Нет,Sz8-fgup-uzh@mail.ru,Гостиница для военных в Санкт-Петербурге,Круглосуточная регистрация,"60.004415,30.356113"
