№,Положение об исполнительном органе государственной власти Санкт-Петербурга,№ пункта в положении об ИОГВ,Наименование исполнительного органа государственной власти Санкт-Петербурга,Наименование полномочия в соответствии с Положением об исполнительном органе государственной власти Санкт-Петербурга,Наименование государственной услуги в соответствии с административным регламентом,Реестровый номер,Тип,Способы предоставления услуги,"Ссылка на Портале ""Государственные и муниципальные услуги в Санкт-Петербурге""","Распоряжение исполнительного органа государственной власти Санкт-Петербурга, которым утвержден административный регламент"
310,"Постановление Правительства Санкт-Петербурга от 10.02.2004 N 176 ""О Комитете по науке и высшей школе""",3.12-8.,Комитет по науке и высшей школе,"Выполняет отдельные функции по предоставлению дополнительных мер социальной поддержки отдельным категориям граждан, установленные Правительством Санкт-Петербурга","Предоставлять дополнительные меры социальной поддержки работникам государственных образовательных учреждений, подведомственных Комитету, в виде денежной компенсации затрат для организации отдыха и оздоровления в размере 2,5 базовой единицы один раз в пять лет за счет средств бюджета Санкт-Петербурга педагогическим работникам государственных образовательных учреждений, подведомственных Комитету, и медицинским работникам, основным местом работы которых являются государственные образовательные учреждения, подведомственные Комитету",7800000000162278137,Услуга,В ИОГВ (ГУ); через РПГУ,Https://gu.spb.ru/499393/,"Распоряжение Комитета по науке и высшей школе от 14.01.2019 № 1 ""Об утверждении Административных регламентов Комитета по науке и высшей школе по предоставлению государственных услуг"""
311,"Постановление Правительства Санкт-Петербурга от 10.02.2004 N 176 ""О Комитете по науке и высшей школе""",3.12-8.,Комитет по науке и высшей школе,"Выполняет отдельные функции по предоставлению дополнительных мер социальной поддержки отдельным категориям граждан, установленные Правительством Санкт-Петербурга","Предоставлять дополнительные меры социальной поддержки работникам государственных образовательных учреждений, подведомственных Комитету, в виде ежемесячной денежной компенсации затрат на проезд на всех видах транспорта общего пользования в Санкт-Петербурге (кроме такси) в размере 50 процентов от стоимости единого месячного проездного (трамвай, троллейбус, автобус, метро) билета в Санкт-Петербурге молодым специалистам со стажем педагогической работы до трех лет, являющимся педагогическими работниками государственных образовательных учреждений, подведомственных Комитету",7800000000160341127,Услуга,В ИОГВ (ГУ); через РПГУ,Https://gu.spb.ru/499503/,"Распоряжение Комитета по науке и высшей школе от 14.01.2019 № 1 ""Об утверждении Административных регламентов Комитета по науке и высшей школе по предоставлению государственных услуг"""
312,"Постановление Правительства Санкт-Петербурга от 10.02.2004 N 176 ""О Комитете по науке и высшей школе""",3.27-2,Комитет по науке и высшей школе,"Принимать решения предоставлении жилых помещений в общежитиях, находящихся в собственности Санкт-Петербурга, предназначенных для временного проживания граждан в период их обучения, за исключением жилых помещений в общежитиях, переданных в хозяйственное ведение или оперативное управление","Принимать решения предоставлении жилых помещений в общежитиях, находящихся в собственности Санкт-Петербурга, предназначенных для временного проживания граждан в период их обучения, за исключением жилых помещений в общежитиях, переданных в хозяйственное ведение или оперативное управление",7800000010000067382,Услуга,В ИОГВ (ГУ),Https://gu.spb.ru/188541/,"Распоряжение Комитета по науке и высшей школе от 04.07.2012 № 39 ""Об утверждении Временного порядка Комитета по науке и высшей школе предоставления государственной услуги по принятию решения о предоставлении жилых помещений в общежитиях, находящихся в собственности Санкт-Петербурга, предназначенных для временного проживания граждан в период их обучения, за исключением жилых помещений в общежитиях, переданных в хозяйственное ведение или оперативное управление"""
313,"Постановление Правительства Санкт-Петербурга от 10.02.2004 N 176 ""О Комитете по науке и высшей школе""",3.9-1.,Комитет по науке и высшей школе,"Проводит аттестацию педагогических работников образовательных учреждений, подведомственных Комитету, и государственных образовательных учреждений дополнительного профессионального образования, учредителем которых является Санкт-Петербург",Организовывать и проводить аттестацию педагогических работников образовательных организаций в соответствии с действующими нормативными правовыми актами Российской Федерации и Санкт-Петербурга,7800000010000087634,Услуга,В ИОГВ (ГУ),Https://gu.spb.ru/188373/,"Распоряжение Комитета по науке и высшей школе от 19.04.2012 № 17 ""Об утверждении Административного регламента Комитета по науке и высшей школе по организации и проведению аттестации педагогических работников образовательных организаций в соответствии с действующими нормативными правовыми актами Российской Федерации и Санкт-Петербурга"""
314,,-,Комитет по образованию,"Предоставление информации о реализации программ среднего профессионального образования, а также дополнительных профессиональных программах","Предоставлять в электронной форме информацию о программах среднего профессионального образования, программах профессионального обучения, а также дополнительных профессиональных программах в государственных профессиональных образовательных учреждениях, расположенных на территории Санкт-Петербурга",7800000010000039497,Услуга,Через оф.сайт ИОГВ (ГУ),Https://gu.spb.ru/188343/,"Распоряжение Комитета по образованию от 07.06.2021 №1693-р «Об утверждении регламента по предоставлению государственными профессиональными образовательными учреждениями, находящимися в ведении исполнительных органов государственной власти Санкт-Петербурга, услуги по предоставлению в электронной форме информации об организации среднего профессионального образования в профессиональных образовательных учреждениях, расположенных на территории Санкт-Петербурга»"
315,,-,Комитет по образованию,"Представление информации об организации общедоступного и бесплатного дошкольного, начального общего основного общего, среднего (полного) общего образования, а также дополнительного образования в общеобразовательных учреждениях, расположенных на территории Санкт-Петербурга","Предоставлять в электронной форме информацию об организации общедоступного и бесплатного дошкольного, начального общего, основного общего, среднего общего образования, а также дополнительного образования в общеобразовательных учреждениях, расположенных на территории Санкт-Петербурга",7800000010000050522,Услуга,Через оф.сайт ИОГВ (ГУ),Https://gu.spb.ru/188341/,"Распоряжение Комитета по образованию от 30.04.2021 №1296-р «Об утверждении регламента по предоставлению государственными образовательными учреждениями, находящимися в ведении исполнительных органов государственной власти Санкт-Петербурга, услуги по предоставлению в электронной форме информации об организации общедоступного и бесплатного дошкольного, начального общего, основного общего, среднего общего образования, а также дополнительного образования в общеобразовательных учреждениях, расположенных на территории Санкт-Петербурга»"
316,,-,Комитет по образованию,"Представление информации о результатах сданных экзаменов, тестирования и иных вступительных испытаний, а также о зачислении в образовательное учреждение","Предоставлять информацию о порядке проведения государственной (итоговой) аттестации обучающихся, освоивших образовательные программы основного общего и среднего (полного) общего образования, в том числе в форме единого государственного экзамена, а также информации из базы данных Санкт-Петербурга об участниках единого государственного экзамена и о результатах единого государственного экзамена",7800000010000039727,Услуга,В ИОГВ (ГУ); через оф.сайт ИОГВ (ГУ),Https://gu.spb.ru/188377/,"Распоряжение Комитета по образованию от 02.11.2011 № 2336-р ""Об утверждении Регламента по предоставлению государственными образовательными учреждениями услуги по предоставлению информации о порядке проведения государственной (итоговой) аттестации обучающихся, освоивших образовательные программы основного общего и среднего (полного) общего образования, в том числе в форме единого государственного экзамена, а также информации из базы данных Санкт-Петербурга об участниках единого государственного экзамена и о результатах единого государственного экзамена"""
317,,-,Комитет по образованию,"Представление информации о результатах сданных экзаменов, тестирования и иных вступительных испытаний, а также о зачислении в образовательное учреждение","Предоставлять информацию о результатах вступительных испытаний, а также о зачислении в государственные профессиональные образовательные учреждения, находящиеся в ведении Комитета по образованию",7800000010000040486,Услуга,В ИОГВ (ГУ); через оф.сайт ИОГВ (ГУ),Https://gu.spb.ru/188355/,"Распоряжение Комитета по образованию от 26.12.2013 № 3062-р ""Об утверждении Регламента по предоставлению услуги по предоставлению информации о результатах вступительных испытаний, а также о зачислении в государственные профессиональные образовательные учреждения, находящиеся в ведении Комитета по образованию"""
318,,-,Комитет по образованию,"Представление информации об образовательных программах и учебных планах, рабочих программах учебных курсов, предметов, дисциплин (модулей), годовых календарных учебных графиках","Предоставлять в электронной форме информацию об образовательных программах, в том числе о реализуемых адаптированных образовательных программах, и учебных планах, рабочих программах учебных предметов, курсов, дисциплин (модулей), календарных учебных графиках в государственных образовательных учреждениях, расположенных на территории Санкт-Петербурга",7800000010000040586,Услуга,Через оф.сайт ИОГВ (ГУ),Https://gu.spb.ru/188347/,"Распоряжение Комитета по образованию от 22.10.2021 №2918-р «Об утверждении регламента по предоставлению государственными образовательными учреждениями, находящимися в ведении исполнительных органов государственной власти Санкт-Петербурга, услуги по предоставлению в электронной форме информации об образовательных программах, в том числе о реализуемых адаптированных образовательных программах, и учебных планах, рабочих программах учебных предметов, курсов, дисциплин (модулей), календарных учебных графиках»"
319,,-,Комитет по образованию,"Зачисление в образовательные организации, реализующие образовательные программы начального общего, основного общего и среднего общего образования","Зачислять в образовательные организации, реализующие образовательные программы начального общего, основного общего и среднего общего образования, находящиеся в ведении исполнительных органов государственной власти Санкт-Петербурга",7800000010000094815,Услуга,В ИОГВ (ГУ); через МФЦ; через РПГУ; через ЕПГУ,Https://gu.spb.ru/188357/ https://gu.spb.ru/188353/,"Распоряжение Комитета по образованию от 31.03.2021 №879-р «Об утверждении регламента образовательных организаций, реализующих образовательные программы начального общего, основного общего и среднего общего образования, находящихся в ведении исполнительных органов государственной власти Санкт-Петербурга, по предоставлению услуги по зачислению в образовательные организации, реализующие образовательные программы начального общего, основного общего и среднего общего образования»"
320,"Постановление Правительства Санкт-Петербурга от 24.02.2004 N 225 ""О Комитете по образованию""",3.2.,Комитет по образованию,"Организовывает предоставление общего, среднего профессионального, дополнительного образования и профессионального обучения в государственных образовательных организациях","Принимать на обучение в образовательные организации Санкт-Петербурга, реализующие программы среднего профессионального образования",7800000000173552255,Услуга,В ИОГВ (ГУ); через ЕПГУ,Https://gu.spb.ru/777261/eservice/,"Распоряжение Комитета по образованию от 24.08.2022 №1667-р «Об утверждении регламента образовательных организаций, реализующих программы среднего профессионального образования, находящихся в ведении исполнительных органов государственной власти Санкт-Петербурга, по предоставлению услуги по приему на обучение в образовательные организации Санкт-Петербурга, реализующие программы среднего профессионального образования»"
321,"Постановление Правительства Санкт-Петербурга от 24.02.2004 N 225 ""О Комитете по образованию""",3.2.,Комитет по образованию,"Организовывает предоставление общего, среднего профессионального, дополнительного образования и профессионального обучения в государственных образовательных организациях","Принимать в организации Санкт-Петербурга, реализующие дополнительные общеобразовательные программы, а также программы спортивной подготовки",7800000000173377424,Услуга,В ИОГВ (ГУ); через ЕПГУ; через оф.сайт ИОГВ (ГУ),Https://gu.spb.ru/743907/,"Распоряжение Комитета по образованию от 01.02.2022 №176-p «Об утверждении регламента предоставления государственной услуги по приему в организации Санкт-Петербурга, реализующие дополнительные общеобразовательные программы, а также программы спортивной подготовки»"
322,"Постановление Правительства Санкт-Петербурга от 24.02.2004 N 225 ""О Комитете по образованию""",3.3,Комитет по образованию,"Утверждает в соответствии с правовым актом Правительства Санкт-Петербурга отраслевой перечень государственных услуг (работ), оказываемых (выполняемых) государственными учреждениями Санкт-Петербурга в сфере образования","Представлять информацию о текущей успеваемости учащегося, ведение электронного дневника и электронного журнала успеваемости",7800000010000040508,Услуга,Через оф.сайт ИОГВ (ГУ),Https://gu.spb.ru/188381/,"Распоряжение Комитета по образованию от 29.06.2021 №1924-р «Об утверждении регламента по предоставлению услуги по предоставлению информации о текущей успеваемости учащегося, ведению электронного дневника и электронного журнала учащегося»"
323,"Постановление Правительства Санкт-Петербурга от 24.02.2004 N 225 ""О Комитете по образованию""",3.4.,Комитет по образованию,"Выполняет отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан, установленные Правительством Санкт-Петербурга","Предоставлять денежную компенсацию затрат для организации отдыха и оздоровления в размере 2,5 базовой единицы один раз в пять лет за счет средств бюджета Санкт-Петербурга – педагогическим работникам государственных образовательных учреждений и медицинским работникам, основным местом работы которых являются государственные образовательные учреждения, находящихся в ведении Комитета по образованию",7800000010000061960,Услуга,В ИОГВ (ГУ),Https://gu.spb.ru/188091/,
324,"Постановление Правительства Санкт-Петербурга от 24.02.2004 N 225 ""О Комитете по образованию""",3.4.,Комитет по образованию,"Выполняет отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан, установленные Правительством Санкт-Петербурга","Предоставлять денежную компенсацию расходов на приобретение и доставку топлива в размере 100 процентов работникам, проживающим в домах, не имеющих центрального отопления, в пределах норм, установленных органами местного самоуправления для продажи населению, - работникам государственных учреждений, расположенных в сельской местности",7800000010000061954,Услуга,В ИОГВ (ГУ),Https://gu.spb.ru/188225/,
325,"Постановление Правительства Санкт-Петербурга от 24.02.2004 N 225 ""О Комитете по образованию""",3.4.,Комитет по образованию,"Выполняет отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан, установленные Правительством Санкт-Петербурга","Предоставлять дополнительную меру социальной поддержки в сфере организации отдыха и оздоровления детей и молодежи в Санкт-Петербурге в соответствии с правовыми актами Правительства Санкт-Петербурга лицам, относящимся к категории «дети работающих граждан», через предоставление сертификата на оплату части стоимости путевки в организации отдыха, за исключением лагерей дневного пребывания",7800000010000026666,Услуга,В ИОГВ (ГУ); через МФЦ; через РПГУ,Https://gu.spb.ru/187975/,"Распоряжение Комитета по образованию от 07.02.2023 №90-p ""Об утверждении административного регламента Комитета по образованию по предоставлению государственной услуги по организации предоставления дополнительной меры социальной поддержки в сфере организации отдыха и оздоровления детей и молодежи в Санкт-Петербурге в соответствии с правовыми актами Правительства Санкт-Петербурга лицам, относящимся к категории ""дети работающих граждан"", через предоставление сертификата на оплату части стоимости путевки в организации отдыха, за исключением лагерей дневного пребывания"""
326,"Постановление Правительства Санкт-Петербурга от 24.02.2004 N 225 ""О Комитете по образованию""",3.4.,Комитет по образованию,"Выполняет отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан, установленные Правительством Санкт-Петербурга","Предоставлять ежемесячную денежную компенсацию расходов на оплату 50 процентов коммунальных услуг (водоснабжение, водоотведение, вывоз бытовых и других отходов, газ, электрическая и тепловая энергия - в пределах нормативов потребления указанных услуг, установленных действующим законодательством) - работникам государственных учреждений, расположенных в сельской местности",7800000010000061948,Услуга,В ИОГВ (ГУ),Https://gu.spb.ru/188223/,
327,"Постановление Правительства Санкт-Петербурга от 24.02.2004 N 225 ""О Комитете по образованию""",3.4.,Комитет по образованию,"Выполняет отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан, установленные Правительством Санкт-Петербурга","Предоставлять меру социальной поддержки отдельным категориям семей, имеющим детей, в виде предоставления компенсации родительской платы и части родительской платы за присмотр и уход за детьми в государственных образовательных организациях, реализующих образовательные программы дошкольного образования, находящихся в ведении Комитета по образованию",7800000010000078964,Услуга,В ИОГВ (ГУ); через МФЦ,Https://gu.spb.ru/188973/,"Распоряжение Комитета по образованию от 29.11.2016 № 3432-р ""Об утверждении Административного регламента Комитета по образованию по предоставлению государственной услуги по выполнению отдельных функций по предоставлению мер социальной поддержки отдельным категориям семей, имеющим детей, в виде предоставления компенсации родительской платы и части родительской платы за присмотр и уход за детьми в государственных образовательных организациях, реализующих образовательные программы дошкольного образования, находящихся в ведении Комитета по образованию"""
328,"Постановление Правительства Санкт-Петербурга от 24.02.2004 N 225 ""О Комитете по образованию""",3.6.,Комитет по образованию,"Осуществляет лицензирование образовательной деятельности организаций, осуществляющих образовательную деятельность, зарегистрированных по месту нахождения (индивидуальных предпринимателей, зарегистрированных по месту жительства) на территории Санкт-Петербурга, за исключением организаций, указанных в пункте 7 части 1 статьи 6 Федерального закона «Об образовании в Российской Федерации»",Осуществлять лицензирование образовательной деятельности,7800000010000000503,Услуга,В ИОГВ (ГУ); через ЕПГУ; через РПГУ,Https://gu.spb.ru/188359/,"Приказ Федеральной службы по надзору в сфере образования и науки от 22.09.2022 №1012 «Об утверждении Административного регламента предоставления органами государственной власти субъектов Российской Федерации, осуществляющими переданные полномочия Российской Федерации в сфере образования, государственной услуги по лицензированию образовательной деятельности»"
329,"Постановление Правительства Санкт-Петербурга от 24.02.2004 N 225 ""О Комитете по образованию""",3.7.,Комитет по образованию,"Осуществляет государственную аккредитацию образовательной деятельности организаций, осуществляющих образовательную деятельность, зарегистрированных по месту нахождения (индивидуальных предпринимателей, зарегистрированных по месту жительства) на территории Санкт-Петербурга, за исключением организаций, указанных в пункте 8 части 1 статьи 6 Федерального закона «Об образовании в Российской Федерации»",Государственная аккредитация образовательной деятельности,7800000010000000116,Услуга,В ИОГВ (ГУ); через РПГУ; через ЕПГУ,Https://gu.spb.ru/188361/,"Приказ Федеральной службы по надзору в сфере образования и науки от 17.10.2022 №1078 «Об утверждении Административного регламента предоставления органами государственной власти субъектов Российской Федерации, осуществляющими переданные полномочия Российской Федерации в сфере образования, государственной услуги по государственной аккредитации образовательной деятельности»"
330,"Постановление Правительства Санкт-Петербурга от 24.02.2004 N 225 ""О Комитете по образованию""",3.9.,Комитет по образованию,"Организовывает проведение аттестации педагогических работников организаций, осуществляющих образовательную деятельность и находящихся в ведении исполнительных органов государственной власти Санкт-Петербурга, педагогических работников частных организаций, осуществляющих образовательную деятельность на территории Санкт-Петербурга в соответствии с действующими нормативными правовыми актами Российской Федерации","Организовывать и проводить аттестацию педагогических работников организаций, осуществляющих образовательную деятельность и находящихся в ведении исполнительных органов государственной власти Санкт-Петербурга, педагогических работников частных организаций, осуществляющих образовательную деятельность на территории Санкт-Петербурга, в соответствии с действующими нормативными правовыми актами Российской Федерации",7800000010000030004,Услуга,Через МФЦ; через РПГУ,Https://gu.spb.ru/188371/,"Распоряжение Комитета по образованию от 29.12.2022 №2714-p «Об утверждении Административного регламента Комитета по образованию по предоставлению государственной услуги по организации и проведению аттестации педагогических работников организаций, осуществляющих образовательную деятельность и находящихся в ведении исполнительных органов государственной власти Санкт-Петербурга, педагогических работников частных организаций, осуществляющих образовательную деятельность на территории Санкт-Петербурга, в соответствии с действующими нормативными правовыми актами Российской Федерации»"
331,"Постановление Правительства Санкт-Петербурга от 02.12.2003 N 44 ""О Комитете по печати и взаимодействию со средствами массовой информации""",3.23-1.,Комитет по печати и взаимодействию со средствами массовой информации,"Осуществлять полномочия органов местного самоуправления, предусмотренные в статье 19 Федерального закона «О рекламе», за исключением полномочий по утверждению Схемы размещения рекламных конструкций, определению типов и видов рекламных конструкций, допустимых и недопустимых к установке на территории Санкт-Петербурга или части его территории, в том числе требований к таким рекламным конструкциям, с учетом необходимости сохранения внешнего архитектурного облика сложившейся застройки","Осуществлять полномочия органов местного самоуправления, предусмотренные в статье 19 Федерального закона «О рекламе», за исключением полномочий по утверждению Схемы размещения рекламных конструкций, определению типов и видов рекламных конструкций, допустимых и недопустимых к установке на территории Санкт-Петербурга или части его территории, в том числе требований к таким рекламным конструкциям, с учетом необходимости сохранения внешнего архитектурного облика сложившейся застройки",7800000010000029562,Услуга,В ИОГВ (ГУ); через МФЦ; через РПГУ,Https://gu.spb.ru/188819/,"Распоряжение Комитета по печати и взаимодействию со средствами массовой информации от 30.03.2012 № 16-р ""Об утверждении административного регламента по предоставлению государственной услуги по осуществлению полномочий органов местного самоуправления, предусмотренных в статье 19 Федерального закона ""О рекламе"""
332,"Постановление Правительства Санкт-Петербурга от 02.12.2003 N 44 ""О Комитете по печати и взаимодействию со средствами массовой информации""",3.23-4.,Комитет по печати и взаимодействию со средствами массовой информации,Выдавать разрешения на установку или перемещение объектов для размещения информации в Санкт-Петербурге,Выдавать разрешения на установку или перемещение объектов для размещения информации в Санкт-Петербурге,7800000010000022065,Услуга,Через РПГУ,Https://gu.spb.ru/188839/,Распоряжение Комитета по печати и взаимодействию со средствами массовой информации от 15.03.2021 №8-р «Об утверждении Административного регламента Комитета по печати и взаимодействию со средствами массовой информации по предоставлению государственной услуги по выдаче разрешений на установку или перемещение объектов для размещения информации в Санкт-Петербурге»
333,"Постановление Правительства Санкт-Петербурга от 09.03.2017 N 127 ""О мерах по совершенствованию государственного управления в сферах благоустройства, природопользования и охраны окружающей среды и внесении изменений в некоторые постановления Правительства Санкт-Петербурга""",3.103.,"Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности","Выдаёт разрешение на строительство объекта капитального строительства, строительство, реконструкцию которого планируется осуществлять в границах особо охраняемой природной территории регионального значения Санкт-Петербурга и разрешение на ввод в эксплуатацию указанного объекта","Выдавать разрешение на строительство объекта капитального строительства, строительство, реконструкцию которого планируется осуществлять в границах особо охраняемой природной территории регионального значения Санкт-Петербурга",7800000000167018890,Услуга,Через РПГУ,Https://gu.spb.ru/534007/,"Распоряжение Комитета по природопользованию, охране окружающей среды и обеспечению экологической безопасности от 17.12.2021 №816-р «Об утверждении Административного регламента Комитета по природопользованию, охране окружающей среды и обеспечению экологической безопасности по предоставлению государственной услуги по выдаче разрешения на строительство объекта капитального строительства, строительство, реконструкцию которого планируется осуществлять в границах особо охраняемой природной территории регионального значения Санкт-Петербурга»"
